,Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project Description,Project URL,SDE ID,GeoJSON,geo_point_2d,lat,lon,rect,start,end,duration,prior,prior_requests,during_requests
100,City Engineering,Road Rehabilitation,Mill and Pave,Project Complete,2019 Road Rehabiliation,,,2019-05-31,2019-09-29,,,2019 Road Rehabilitation,,11395," -76.57210595446311, 44.22394623585349, -76.57252860849162, 44.22825058478794, ""type"": ""LineString""}","44.226098410320716,-76.57231728147737",44.226098410320716,-76.57231728147737,"Rectangle(xmin=-76.58600334336374, ymin=44.165861860283236, xmax=-76.55863121959099, ymax=44.2863349603582)",2019-05-31,2019-09-29,121 days 00:00:00.000000000,2018-05-31,0,437
104,City Engineering,Road Rehabilitation,Surface Treatment,Under Construction,Surface Rehabilitation - Single Surface Treatment Application,,,2021-01-22,2021-07-22,,,Installation of a single surface treatment,,14948," -76.65834773018953, 44.28591544539848, -76.65856230690926, 44.28571575507253, -76.65851939182794, 44.2856082293989, -76.65839064559349, 44.28557750748197, -76.65830481545645, 44.28563895123021, -76.65830481548797, 44.28579255969583, -76.65830481449416, 44.28591544558008, -76.65802586499909, 44.28620729969997, -76.6577039996779, 44.28674492209476, -76.65710318592912, 44.287205737809444, -76.6559230129789, 44.28783551219462, -76.6551505366794, 44.288342399776944, -76.65439951931147, 44.28895680230743, -76.65330517756927, 44.28940223999832, -76.65274727850962, 44.28986303434422, -76.65178168296305, 44.29047742146283, -76.64984418283622, 44.29208506401875, -76.64984418212161, 44.292077384513085, ""type"": ""LineString""}","44.2887651083036,-76.65446568238848",44.2887651083036,-76.65446568238848,"Rectangle(xmin=-76.67203704178138, ymin=44.22712504279065, xmax=-76.63636944724949, ymax=44.35053752871007)",2021-01-22,2021-07-22,181 days 00:00:00.000000000,2020-01-22,43,114
105,City Engineering,Road Rehabilitation,Microsurfacing,Project Complete,Crack Sealing and Micro Surfacing,,,2021-02-24,2021-09-29,,,"Three phase project which includes local apshalt mill and pave repair, crack sealing, and finally application of Microsurface.",,15241," -76.5747253665014, 44.24985996694839, -76.57339499057758, 44.25029033149604, -76.57202169989189, 44.25052088293744, -76.57045528964787, 44.250566992656914, -76.56891033699648, 44.25061310301885, -76.56545565143155, 44.25078217241954, -76.56129286281372, 44.2511510508385, -76.55968353780591, 44.2509819815945, -76.55788109352619, 44.25050551229432, -76.55560657969572, 44.24992144828044, -76.553761219886, 44.249660153807014, -76.55232355622611, 44.24970626535268, -76.5506283997236, 44.25010588995363, -76.5495126010785, 44.25052088251694, -76.54839680200885, 44.25110494090565, -76.54691622285038, 44.25191953917943, -76.54485628614485, 44.253087622866516, -76.54380485997581, 44.25370239392718, -76.54318258860037, 44.254347896938015, -76.54292509631048, 44.25516245046496, -76.54283926536765, 44.256099940692124, -76.5426890610199, 44.2566532071728, -76.54206678857958, 44.25705278473341, ""type"": ""LineString""}","44.251305878256375,-76.557166845533",44.251305878256375,-76.557166845533,"Rectangle(xmin=-76.58820010137352, ymin=44.19156643887235, xmax=-76.52859205370746, ymax=44.315146499668074)",2021-02-24,2021-09-29,217 days 00:00:00.000000000,2020-02-24,3398,5039
106,City Engineering,Road Rehabilitation,Surface Treatment,Project Complete,Single Surface Treatment Application,,,2019-03-02,2019-08-01,,,,,15891," -76.38353932266521, 44.26368777149782, -76.38396847589595, 44.26565466271137, -76.38379681344442, 44.266853204951545, -76.3842259674984, 44.270878898321826, -76.38538468152053, 44.27991265566901, -76.38871062121628, 44.300033892287004, ""type"": ""LineString""}","44.281873170129515,-76.38587352515759",44.281873170129515,-76.38587352515759,"Rectangle(xmin=-76.4021853560884, ymin=44.20637409234199, xmax=-76.3700645877931, ymax=44.35734757144284)",2019-03-02,2019-08-01,152 days 00:00:00.000000000,2018-03-02,0,21
109,Utilities Kingston,Utilities Replacement,Electrical,Under Construction,5Kv UG Cable Upgrades,,,2021-01-01,2021-12-31,,,MS 2 - 203 CCT PILC Cable replacement - To New Riser Pole on MacDonnell St at Johnson St,,17859," -76.50554066794389, 44.232756363393534, -76.5051704189395, 44.2327414898538, -76.50503348361887, 44.231491339596246, ""type"": ""LineString""}","44.23226036470953,-76.50515966495689",44.23226036470953,-76.50515966495689,"Rectangle(xmin=-76.51901540281601, ymin=44.17369028303878, xmax=-76.49155874874675, ymax=44.290557419951)",2021-01-01,2021-12-31,364 days 00:00:00.000000000,2020-01-01,2734,4010
111,Transportation Services,Active Transportation,Traffic Calming,Project Complete,2021 traffic calming,,,2021-01-22,2021-06-29,,,2021 traffic calming - minor adjustment measures,,19075," -76.52327939211365, 44.23844938804698, -76.52278586539522, 44.23305315096655, -76.52250691630428, 44.23276103234386, -76.52079030132951, 44.23203841803903, -76.52023240258362, 44.23194616907838, -76.51969596058376, 44.23200766871748, -76.5180222624468, 44.23245353845934, -76.51667042870923, 44.2333145188266, -76.51606961397879, 44.233745003604035, -76.51482506952264, 44.23394487075883, ""type"": ""LineString""}","44.233889821402336,-76.5204383429887",44.233889821402336,-76.5204383429887,"Rectangle(xmin=-76.53675412698577, ymin=44.17407036538873, xmax=-76.50135033465052, ymax=44.29632519173663)",2021-01-22,2021-06-29,158 days 00:00:00.000000000,2020-01-22,2848,3864
112,Transportation Services,Active Transportation,Traffic Calming,Project Complete,2021 traffic calming,,,2021-01-22,2021-06-29,,,2021 traffic calming - minor adjustment measures,,19091," -76.52821465618894, 44.23760385652809, -76.52317210299016, 44.238495507374466, -76.52257128919148, 44.238587746581075, -76.52184172800523, 44.23852625441629, -76.52109070973312, 44.23826490931316, -76.52021094519117, 44.23769609678659, -76.51652022540428, 44.234467597468466, -76.5160481566511, 44.23376037844706, -76.51602669893862, 44.23376037788136, ""type"": ""LineString""}","44.23718208185841,-76.52164106494094",44.23718208185841,-76.52164106494094,"Rectangle(xmin=-76.54168939106106, ymin=44.17586374268532, xmax=-76.5025519640665, ymax=44.29648438177711)",2021-01-22,2021-06-29,158 days 00:00:00.000000000,2020-01-22,2787,3777
113,Transportation Services,Active Transportation,Traffic Calming,Project Complete,2021 traffic calming,,,2021-01-22,2021-06-29,,,2021 traffic calming - minor adjustment measures,,19107," -76.57911225446738, 44.24661198551366, -76.57902642434493, 44.24430628187952, -76.58003493503638, 44.24258463118153, -76.58007784948477, 44.24210809406101, -76.57992764677648, 44.2407706937792, ""type"": ""LineString""}","44.24367730503449,-76.57950169231516",44.24367730503449,-76.57950169231516,"Rectangle(xmin=-76.59355258435689, ymin=44.18265421019753, xmax=-76.56555168947281, ymax=44.30472846909532)",2021-01-22,2021-06-29,158 days 00:00:00.000000000,2020-01-22,2017,3263
114,Transportation Services,Active Transportation,Traffic Calming,Project Complete,2021 traffic calming,,,2021-01-22,2021-06-29,,,2021 traffic calming - minor adjustment measures,,19139," -76.54145144488986, 44.31904571241496, -76.53535746521742, 44.31922993731354, ""type"": ""LineString""}","44.31913782486425,-76.53840445505364",44.31913782486425,-76.53840445505364,"Rectangle(xmin=-76.55492617976198, ymin=44.26109312914249, xmax=-76.5218827303453, ymax=44.37718252058601)",2021-01-22,2021-06-29,158 days 00:00:00.000000000,2020-01-22,360,601
115,Utilities Kingston,Utilities Replacement,Gas,Under Construction,2021 Steel Gas Main Replacement,,,2021-03-04,2021-12-31,,,Weller from Daly to Montreal,,21635," -76.48162234129389, 44.262642833637166, -76.47951948952773, 44.262842602857205, ""type"": ""LineString""}","44.26274271824718,-76.48057091541081",44.26274271824718,-76.48057091541081,"Rectangle(xmin=-76.495097076166, ymin=44.20494224982424, xmax=-76.46604475465561, ymax=44.32054318667013)",2021-03-04,2021-12-31,302 days 00:00:00.000000000,2020-03-04,3294,4788
