,ID,Accident Date,Accident Time,Intersection ID,Roadway,Intersection,RIMS ID,From Street,Street,Street.1,To Street,01 Accident Location,02 Impact Location,03 Thru Lane Number,04 Environmental Condition,05 Environmental Condition,06 Light,07 Traffic Control,08 Traffic Control Condition,15 Road Surface Condition,16 Road Surface Condition,17 Road Alignment,18 Road Alignment,21 Vehicle Type,22 Vehicle Type,33 Apparent Driver Action,34 Apparent Driver Action,35 Driver Condition,36 Driver Condition,37 Pedestrian Condition,38 Pedestrian Condition,39 Pedestrian Action,40 Pedestrian Action,41 Road Jurisdiction,42 Classification of Accident,43 Initial Direction of Travel,44 Initial Direction of Travel,45 Initial Impact Type,46 Vehicle Manoeuver,47 Vehicle Manoeuver,In Vehicle Injuries,Total Fatalities,Total Injuries,Pedestrian Injuries,Total Vehicles Involved,Cyclist Injuries,INTERSECT,coordinates
11,17-19883,2017-09-14, 8:20:00 AM,909708,PORTSMOUTH AVENUE,St. Lawrence College Entrance,,,,WOODSTONE CRES,,4.0,2.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"PORTSMOUTH AVENUE @ St. Lawrence College Entrance, Kingston, Ontario","[44.2234851, -76.5280337]"
12,17-218,2017-02-01, 7:00:00 AM,,,,3658,FOSTER ST,WOODSTONE CRES,WOODSTONE CRES,76M N. OF FOSTER ST,4.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,2,,"FOSTER ST @ WOODSTONE CRES, Kingston, Ontario","[44.22525, -76.5247882]"
13,18-17982,2018-05-20, 12:30:00 AM,933703,WOODSIDE DRIVE,Marsh Cresent East,,,,WOODSIDE DR,,2.0,1.0,0.0,2.0,0.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,99.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,2,0.0,"WOODSIDE DRIVE @ Marsh Cresent East, Kingston, Ontario","[44.2538978, -76.5978706]"
14,17-42917,2017-12-29, 10:00:00 PM,,,,36325,PRINCESS ST,WOODHAVEN DR,WOODHAVEN DR,EVERGREEN DR,1.0,11.0,,1.0,0.0,7.0,10.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0,11.0,9.0,0.0,0.0,0.0,0.0,2,0.0,"PRINCESS ST @ WOODHAVEN DR, Kingston, Ontario","[44.26151160000001, -76.59557459999999]"
15,18-4002,2018-01-30, 1:46:00 PM,917150,WOODBURN ROAD,WOODS SIDE ROAD,,,,WOODBURN RD,,2.0,12.0,0.0,1.0,0.0,1.0,10.0,0.0,5.0,5.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,1,0.0,"WOODBURN ROAD @ WOODS SIDE ROAD, Kingston, Ontario","[44.3358987, -76.3620852]"
16,18-18250,2018-05-22, 2:20:00 AM,,,,16100,BOUNDARY C6 RD,WOODBURN RD,WOODBURN RD,BEST CHASE RD,1.0,11.0,0.0,2.0,7.0,1.0,10.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,7.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,"BOUNDARY C6 RD @ WOODBURN RD, Kingston, Ontario","[44.3568814, -76.2330771]"
17,18-2530,2018-01-18, 10:20:00 AM,,,,16100,BOUNDARY C6 RD,WOODBURN RD,WOODBURN RD,BEST CHASE RD,1.0,2.0,1.0,1.0,0.0,1.0,10.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,3.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,"BOUNDARY C6 RD @ WOODBURN RD, Kingston, Ontario","[44.3568814, -76.2330771]"
18,18-7684,2018-03-03, 1:30:00 AM,909850,WOODBINE ROAD,Westbrook Road,,,,WOODBINE RD,,3.0,12.0,0.0,3.0,0.0,7.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,"WOODBINE ROAD @ Westbrook Road, Kingston, Ontario","[44.2574995, -76.62442519999999]"
19,17-29344,2017-11-16, 7:45:00 AM,909559,COLLINS BAY ROAD,Woodbine Road,,,,WOODBINE RD,,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,2,0.0,"COLLINS BAY ROAD @ Woodbine Road, Kingston, Ontario","[44.2568286, -76.6110497]"
20,18-761,2018-02-01, 12:31:00 AM,909559,COLLINS BAY ROAD,Woodbine Road,,,,WOODBINE RD,,3.0,4.0,0.0,3.0,5.0,1.0,2.0,1.0,6.0,6.0,,1.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,,"COLLINS BAY ROAD @ Woodbine Road, Kingston, Ontario","[44.2568286, -76.6110497]"
