Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Description,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project URL,SDE ID,GeoJSON,geo_point_2d
Parks and Development,Parks and Development,Existing Parks,Project Complete,Meadowbrook Park playground and woodland improvement,"Playground upgrades, a new pathway and selective drainage improvements including inside the dog park",,,2017-01-01T00:00:00-05:00,2017-12-31T00:00:00-05:00,2018-06-01,,,23,"{""coordinates"": [-76.54482220079392, 44.24619953004766], ""type"": ""Point""}","44.24619953004766,-76.54482220079392"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,TV 8 Electric Upgrade,Rebuilt Top Slab & Upgrade Equipment,,,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,,,,107,"{""coordinates"": [-76.4874069923466, 44.232405663881146], ""type"": ""Point""}","44.232405663881146,-76.4874069923466"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Reddendale Drainage Improvements,Reddendale Drainage Improvements - Lakeshore Boulevard,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2023-12-30T00:00:00-05:00,,,,46576,"{""coordinates"": [-76.57471298017737, 44.216690519641034], ""type"": ""Point""}","44.216690519641034,-76.57471298017737"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Reddendale Drainage Improvements,Reddendale Drainage Improvements - Montgomery Boulevard,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2023-12-30T00:00:00-05:00,,,,46577,"{""coordinates"": [-76.56558852654474, 44.21657727329574], ""type"": ""Point""}","44.21657727329574,-76.56558852654474"
Utilities Kingston,Utilties Rehabilitation,Wastewater,Under Construction,Repair & Rehabilitate Roof on Digester 2 & 3 at Ravensview Wastewater Treatment Plant,"Structural repairs to the concrete roof structures, pressure testing & re-installing a new weatherproofing system on rehabilitated concrete roof slabs",2016-01-01,2016-12-31,2018-09-30T00:00:00-04:00,2019-05-30T00:00:00-04:00,,,,130,"{""coordinates"": [-76.42038422609018, 44.24187802720432], ""type"": ""Point""}","44.24187802720432,-76.42038422609018"
Utilities Kingston,Utilities Facility Upgrade,Electric,In Planning and Design Phase,Electric - MS 17 Transformer Decommissioning,,2017-01-01,2017-12-31,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,111,"{""coordinates"": [-76.5098462934143, 44.26757476119401], ""type"": ""Point""}","44.26757476119401,-76.5098462934143"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - TV38 Relocation,Relocating Vault to Smith Street,2018-01-01,2018-12-31,2017-12-31T00:00:00-05:00,2018-12-30T00:00:00-05:00,,,,127,"{""coordinates"": [-76.5056154499283, 44.23873551955775], ""type"": ""Point""}","44.23873551955775,-76.5056154499283"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Westbrook Wastewater Pump Station Upgrades,Pump Station Upgrades,2016-01-01,2016-12-31,2016-12-31T00:00:00-05:00,2017-12-30T00:00:00-05:00,,,,117,"{""coordinates"": [-76.6246579762376, 44.26473270348677], ""type"": ""Point""}","44.26473270348677,-76.6246579762376"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Fairway Hill Cres Storm System Improvements,Fairway Hill Cres Storm System Improvements,2019-01-01,2019-12-31,2019-01-01T00:00:00-05:00,2019-12-31T00:00:00-05:00,2019-01-01,2019-12-31,,3695,"{""coordinates"": [-76.53562472576628, 44.23357762313026], ""type"": ""Point""}","44.23357762313026,-76.53562472576628"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Lower King Street Storm System Improvements,Lower King Street Storm System Improvements,2019-01-01,2019-12-31,2019-01-01T00:00:00-05:00,2019-12-31T00:00:00-05:00,,,,4014,"{""coordinates"": [-76.48002067050881, 44.23463450652573], ""type"": ""Point""}","44.23463450652573,-76.48002067050881"
Utilities Kingston,Utilties Rehabilitation,Wastewater,Under Construction,Wastewater - Septage Recieving at Ravensview WWTP,Building new septage receiving station at Ravensview WWTP.,2018-01-01,2018-06-01,2018-06-30T00:00:00-04:00,2019-10-30T00:00:00-04:00,,,https://utilitieskingston.com/Projects/Detail/RavensviewSeptageReceivingStation,3374,"{""coordinates"": [-76.4195622554037, 44.24359382445897], ""type"": ""Point""}","44.24359382445897,-76.4195622554037"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Breakwater Park,"New pathways, upland sand beach, pebble beach, renovated pier, new pedestrian bridge, new lighting and picnic area",2012-01-01,2013-01-01,2014-12-31T00:00:00-05:00,2015-12-31T00:00:00-05:00,2017-06-01,2018-07-01,https://www.cityofkingston.ca/residents/recreation/parks-trails/breakwater,60,"{""coordinates"": [-76.49852797146056, 44.22235673707561], ""type"": ""Point""}","44.22235673707561,-76.49852797146056"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal/Intersection Improvements,Project Complete,Bayridge and Cedarwood,Bayridge and Cedarwood Intersection Improvements,,,2018-12-31T00:00:00-05:00,2020-06-29T00:00:00-04:00,,,,2419,"{""coordinates"": [-76.5840133254084, 44.26227247317643], ""type"": ""Point""}","44.26227247317643,-76.5840133254084"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Welbourne Park Play Equipment,"New play equipment upgrades, replacement of play surfacing, accessible path and seating.",,,2017-01-01T00:00:00-05:00,2017-12-01T00:00:00-05:00,2018-07-31,2018-11-01,https://www.cityofkingston.ca/documents/10180/42224/Projects_Rec_WelbornePark_ProposedPlaygroundSitePlan.jpg/5dd70f0a-c17c-42a5-b6f3-1050c9583d8a?t=1508853389823,52,"{""coordinates"": [-76.57927758301145, 44.223335773631476], ""type"": ""Point""}","44.223335773631476,-76.57927758301145"
Utilities Kingston,Utilities Facility Upgrade,Electric,Under Construction,Substation MS1 Electric Upgrades,Substation MS1 Upgrades/System Renewal. Upgrade high-voltage equipment and relay protections. Install a new HVAC system,2015-01-01,2019-12-31,2016-12-30T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,http://www.utilitieskingston.com/Projects/Detail/ElectricSubstationMS1,106,"{""coordinates"": [-76.48026157041232, 44.232347306764886], ""type"": ""Point""}","44.232347306764886,-76.48026157041232"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,King St and Lower University Intersection Improvements,King and Lower University Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2418,"{""coordinates"": [-76.49500744431178, 44.222975921244824], ""type"": ""Point""}","44.222975921244824,-76.49500744431178"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Nickle Avenue Park,"Proposed park improvements include play equipment upgrades, replacement of play surfacing, accessible path and seating.",,,2016-12-31T00:00:00-05:00,2017-11-30T00:00:00-05:00,2018-08-08,2018-11-01,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,503,"{""coordinates"": [-76.5288500047979, 44.22705455756105], ""type"": ""Point""}","44.22705455756105,-76.5288500047979"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Woodbine Parking Expansion,"Proposed improvements to Woodbine Park include expanded parking area, pathway improvements, and an expanded volleyball area.",,,2016-12-31T00:00:00-05:00,2017-11-30T00:00:00-05:00,2018-09-01,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,39,"{""coordinates"": [-76.6032186356758, 44.25895796698361], ""type"": ""Point""}","44.25895796698361,-76.6032186356758"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,New Pedestrian Crossover,New Pedestrian Crossover,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,74416,"{""coordinates"": [-76.51036558007262, 44.26768368794979], ""type"": ""Point""}","44.26768368794979,-76.51036558007262"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Electric 44kV Switch Replacement Program,"Replace three 44kV overhead manual switches; 2 existing locations (M7-73, M9-93), 1 new location",2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74734,"{""coordinates"": [-76.5141182613768, 44.23606825461162], ""type"": ""Point""}","44.23606825461162,-76.5141182613768"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,High Gate Park Drainage Improvements,High Gate Park Drainage Improvements,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,46579,"{""coordinates"": [-76.60652634172511, 44.247951393418376], ""type"": ""Point""}","44.247951393418376,-76.60652634172511"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Hemlock Downs Park,"Proposed park improvements include playground, pathway, seating and drainage improvements.",,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/documents/10180/42317/Project_ParksDev_HemlockDownsConcept.pdf/a9c43267-a373-419e-a9d2-355fbf9c2f28,50,"{""coordinates"": [-76.46172480858213, 44.30629464209767], ""type"": ""Point""}","44.30629464209767,-76.46172480858213"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,McIvor Road Storm System Improvements,McIvor Road Storm System Improvements,,,2020-01-02T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,98430,"{""coordinates"": [-76.5644580952596, 44.288191713831274], ""type"": ""Point""}","44.288191713831274,-76.5644580952596"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Under Construction,"Wastewater - Cataraqui Bay Treatment Plant
Wastewater - Cataraqui Bay Treatment Plant",Upgrade Cataraqui Bay Waste Water Treatment Facility,2013-01-01,2016-12-31,2016-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,http://www.utilitieskingston.com/Projects/Detail/CataraquiBay,104,"{""coordinates"": [-76.55114726294138, 44.2143199092098], ""type"": ""Point""}","44.2143199092098,-76.55114726294138"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Fairway Hills,"Proposed renovations to Fairway Hill Park include pathways, seating, a playground and landscaping.",,,2019-01-01T00:00:00-05:00,2019-12-31T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,84,"{""coordinates"": [-76.53440114066113, 44.231457752677855], ""type"": ""Point""}","44.231457752677855,-76.53440114066113"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Kingston East - Rideau Community Wastewater Upgrades,Riverview Development Pump Station (New),2013-01-01,2015-12-31,2015-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,2018-04-01,2019-06-01,,113,"{""coordinates"": [-76.45871356707974, 44.26608461296457], ""type"": ""Point""}","44.26608461296457,-76.45871356707974"
City Engineering,Parks and Development,Waterfront,Pre-Planning,Douglas R. Fluhrer Park (Design),"Design Douglas R. Fluhrer Park as per the completed master plan. Shoreline and parking lot upgrades, pathways, great lawn and outdoor gathering space, tree planting and landscaping.",,,2022-01-02T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/waterfront-master-plan/updates,93390,"{""coordinates"": [-76.48095715823246, 44.23836431766908], ""type"": ""Point""}","44.23836431766908,-76.48095715823246"
Other,Parks and Development,Facilities,Under Construction,Kingston East End Community Centre,Construct a new community centre,2014-04-01,2016-09-01,2019-12-31T00:00:00-05:00,2021-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/kingston-east-community-centre/about,1134,"{""coordinates"": [-76.45964646595469, 44.2545130558551], ""type"": ""Point""}","44.2545130558551,-76.45964646595469"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,King Street West Drainage Improvements,King Street West Drainage Improvements,2020-01-01,2020-12-31,2026-01-02T00:00:00-05:00,2027-12-31T00:00:00-05:00,,,,46575,"{""coordinates"": [-76.49497855290139, 44.22298686542357], ""type"": ""Point""}","44.22298686542357,-76.49497855290139"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Kenwoods Circle Storm System Improvements,Kenwoods Circle Storm System Improvements,,,2019-01-02T00:00:00-05:00,2020-03-30T00:00:00-04:00,,,,96494,"{""coordinates"": [-76.46764836535958, 44.25714812016568], ""type"": ""Point""}","44.25714812016568,-76.46764836535958"
Parks and Development,Parks and Development,New Parks,Project Complete,Napier St Parkette,New park from former school site and road closure at Napier Street,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,501,"{""coordinates"": [-76.5066605882013, 44.233287839019596], ""type"": ""Point""}","44.233287839019596,-76.5066605882013"
Transportation Services,Intersection And Crossing Improvements,Traffic Signal Rebuilds,In Planning and Design Phase,Traffic Signal Rebuild - King and Portsmouth,Traffic Signal Rebuild - King and Portsmouth,2020-01-01,2020-12-31,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,129,"{""coordinates"": [-76.5249848874127, 44.22044247123017], ""type"": ""Point""}","44.22044247123017,-76.5249848874127"
Parks and Development,Parks and Development,Waterfront,In Planning and Design Phase,Richardson Beach Bathhouse,Renovation to bathouse,,,2019-12-31T00:00:00-05:00,2022-12-31T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/richardson-beach,814,"{""coordinates"": [-76.48896468125751, 44.222144649045525], ""type"": ""Point""}","44.222144649045525,-76.48896468125751"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Shannon Park,"Park Renovation: to include a multi-purpose sports court, new sports fields, a playground, paths, seating and open lawn areas. MacCauley Street extension  from Daly Street to Wilson Street.",,,2020-02-01T00:00:00-05:00,2021-09-30T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,816,"{""coordinates"": [-76.48434469036678, 44.26413545557104], ""type"": ""Point""}","44.26413545557104,-76.48434469036678"
Utilities Kingston,Utilities Facility Upgrade,Electric,Under Construction,Electric - TV3 Upgrade,Upgrading infrastructure for TV3,2018-01-01,2018-12-31,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,3375,"{""coordinates"": [-76.48246000110333, 44.23175892837951], ""type"": ""Point""}","44.23175892837951,-76.48246000110333"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal/Intersection Improvements,In Planning and Design Phase,Gardiners Rd and Centennial Dr Intersection Improvements,,2020-01-01,2020-12-31,2021-09-05T00:00:00-04:00,2023-09-28T00:00:00-04:00,,,,21294,"{""coordinates"": [-76.57165890784846, 44.279626363211634], ""type"": ""Point""}","44.279626363211634,-76.57165890784846"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,New Intersection Pedestrian Signal (IPS),New Intersection Pedestrian Signal (IPS),2020-01-01,2020-12-31,2019-12-31T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,45300,"{""coordinates"": [-76.5905060453407, 44.24849410653742], ""type"": ""Point""}","44.24849410653742,-76.5905060453407"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Reddendale Drainage Improvements,Reddendale Drainage Improvements - Ditch Inlet Structure Improvements,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2021-09-29T00:00:00-04:00,,,,46578,"{""coordinates"": [-76.57929256859805, 44.21612159795052], ""type"": ""Point""}","44.21612159795052,-76.57929256859805"
Parks and Development,Parks and Development,Existing Parks,Under Construction,Milton Cemetery,Milton Cemetery,,,2019-12-31T00:00:00-05:00,2021-12-15T00:00:00-05:00,,,,46895,"{""coordinates"": [-76.39665719724096, 44.25024746941338], ""type"": ""Point""}","44.25024746941338,-76.39665719724096"
Parks and Development,Parks and Development,New Parks,Pre-Planning,Creekside Valley Park B,Future new park design,,,2022-01-05T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,,47536,"{""coordinates"": [-76.61472632449998, 44.26844472465439], ""type"": ""Point""}","44.26844472465439,-76.61472632449998"
Parks and Development,Parks and Development,New Parks,In Planning and Design Phase,Waterside Way Park and Trails,Future new park design,,,2021-01-02T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,47537,"{""coordinates"": [-76.45582416985708, 44.270180146621016], ""type"": ""Point""}","44.270180146621016,-76.45582416985708"
Transit Services,Transit Services,Bus Pad Construction,Project Complete,Bus Pad Construction - 2021,4m x 10m shelter pad on Gardiners at O'Connor south portal (east side),,,2020-12-31T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,82750,"{""coordinates"": [-76.56850423262043, 44.259650606438214], ""type"": ""Point""}","44.259650606438214,-76.56850423262043"
Transit Services,Transit Services,Bus Pad Construction,Project Complete,Bus Pad Construction - 2021,4m x 10m concrete shelter pad - Gardiners at Norris (east side),,,2020-12-31T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,82766,"{""coordinates"": [-76.56863029603308, 44.26319946615846], ""type"": ""Point""}","44.26319946615846,-76.56863029603308"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Seabrooke Road Storm System Improvements,Seabrooke Road Storm System Improvements,,,2020-01-02T00:00:00-05:00,2021-05-30T00:00:00-04:00,,,,91694,"{""coordinates"": [-76.26583745541623, 44.44630920521372], ""type"": ""Point""}","44.44630920521372,-76.26583745541623"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Unity Road Storm System Improvements,Unity Road Storm System Improvements,,,2021-01-02T00:00:00-05:00,2021-12-30T00:00:00-05:00,,,,91710,"{""coordinates"": [-76.50659294688796, 44.320059449436336], ""type"": ""Point""}","44.320059449436336,-76.50659294688796"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Orser Road Storm System Improvements,Orser Road Storm System Improvements,,,2020-01-02T00:00:00-05:00,2021-12-30T00:00:00-05:00,,,,91742,"{""coordinates"": [-76.59121241363897, 44.35670442104089], ""type"": ""Point""}","44.35670442104089,-76.59121241363897"
City Engineering,Parks and Development,Existing Parks,Pre-Planning,Garrigan Park Playground Replacement,,,,2022-01-31T00:00:00-05:00,2022-11-30T00:00:00-05:00,,,,93296,"{""coordinates"": [-76.51824522272678, 44.223555745349096], ""type"": ""Point""}","44.223555745349096,-76.51824522272678"
City Engineering,Parks and Development,Existing Parks,In Planning and Design Phase,Memorial Centre play equipment retrofit  (apollo),Replacement of failing apollo play equipment,,,2021-01-15T00:00:00-05:00,2022-08-31T00:00:00-04:00,,,,93312,"{""coordinates"": [-76.49852294065654, 44.23903650776657], ""type"": ""Point""}","44.23903650776657,-76.49852294065654"
City Engineering,Parks and Development,Existing Parks,Under Construction,Marker Acres Playground Replacement,Playground Replacement,,,2021-01-31T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,93326,"{""coordinates"": [-76.48948657777943, 44.26671491250238], ""type"": ""Point""}","44.26671491250238,-76.48948657777943"
City Engineering,Parks and Development,Existing Parks,Under Construction,Starr Reid Playground Replacement,Playground Replacement,,,2021-01-31T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,93342,"{""coordinates"": [-76.48453522042473, 44.26039538674798], ""type"": ""Point""}","44.26039538674798,-76.48453522042473"
City Engineering,Parks and Development,Existing Parks,In Planning and Design Phase,Lake Ontario Park Play equipment replacement,Replacement of aging play equipment and removal of aging masonry bbq,,,2021-01-31T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,93358,"{""coordinates"": [-76.5309267073229, 44.218842480946606], ""type"": ""Point""}","44.218842480946606,-76.5309267073229"
City Engineering,Bridges and Culverts,Structure Replacement,Under Construction,Turtle Crossing Mitigation Measures,Turtle Crossing Mitigation Measures - Collins Creek,,,2020-07-29T00:00:00-04:00,2022-05-14T00:00:00-04:00,,,,98094,"{""coordinates"": [-76.61253559832399, 44.26408730151969], ""type"": ""Point""}","44.26408730151969,-76.61253559832399"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Eunice Drive Storm System Improvements,Eunice Drive Storm System Improvements,,,2021-01-02T00:00:00-05:00,2021-12-30T00:00:00-05:00,,,,98462,"{""coordinates"": [-76.54637170852439, 44.271158571505154], ""type"": ""Point""}","44.271158571505154,-76.54637170852439"
City Engineering,Parks and Development,Waterfront,Project Complete,Morton Way Shoreline improvements,Shoreline restoration,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/portsmouth-waterfront-pathway,99054,"{""coordinates"": [-76.5054321220073, 44.220319435893664], ""type"": ""Point""}","44.220319435893664,-76.5054321220073"
Transportation Services,Intersection And Crossing Improvements,Miscellaneous,Project Complete,Traffic calming (minor measures),,,,2021-01-04T00:00:00-05:00,2021-07-29T00:00:00-04:00,,,,99695,"{""coordinates"": [-76.49112929098702, 44.23101598104389], ""type"": ""Point""}","44.23101598104389,-76.49112929098702"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,In Planning and Design Phase,AT enhancements,ICIP,,,2022-01-01T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,100033,"{""coordinates"": [-76.53012808998749, 44.22021740834998], ""type"": ""Point""}","44.22021740834998,-76.53012808998749"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP,,,2022-01-01T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,100094,"{""coordinates"": [-76.53874334507255, 44.22004056149079], ""type"": ""Point""}","44.22004056149079,-76.53874334507255"
Transportation Services,Intersection And Crossing Improvements,Pedestrian Crossing,Project Complete,All Way Stop,"Being considered, subject to further review",,,2021-07-04T00:00:00-04:00,2021-09-09T00:00:00-04:00,,,,103935,"{""coordinates"": [-76.50205332560364, 44.25326703353059], ""type"": ""Point""}","44.25326703353059,-76.50205332560364"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP Project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105806,"{""coordinates"": [-76.58856091780085, 44.252771553797714], ""type"": ""Point""}","44.252771553797714,-76.58856091780085"
Transit Services,Transit Services,Bus Pad Construction,Project Complete,Bus Pad Construction - 2021,4m x 10m concrete accessibility pad - Henderson at McEwen (south side),,,2020-12-31T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,106414,"{""coordinates"": [-76.57321928282583, 44.22813665099659], ""type"": ""Point""}","44.22813665099659,-76.57321928282583"
Utilities Kingston,Utilities Construction,Electrical,In Planning and Design Phase,"Electric Frontenac TS - Coordination Study for Frontenac M2, M3, M4, M5 feeders",Protection Coordination Study in conjunction with Hydro One protection upgrades at Frontenac TS,2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74740,"{""coordinates"": [-76.4989443454787, 44.25931817574869], ""type"": ""Point""}","44.25931817574869,-76.4989443454787"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,New Pedestrian Crossover,New Pedestrian Crossover,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,74415,"{""coordinates"": [-76.48949498509054, 44.25276077101118], ""type"": ""Point""}","44.25276077101118,-76.48949498509054"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,New Traffic Signal - Sydenham and Cataraqui Woods,,,,2015-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,2018-01-01,2019-12-31,,123,"{""coordinates"": [-76.5441647486921, 44.26991763242495], ""type"": ""Point""}","44.26991763242495,-76.5441647486921"
,Parks and Development,Existing Parks,Project Complete,Bayridge Park,Playground equipment replacements,,,2018-10-17T00:00:00-04:00,2018-11-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,495,"{""coordinates"": [-76.59317647991143, 44.24748131795373], ""type"": ""Point""}","44.24748131795373,-76.59317647991143"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - TV9 Relocation,Build Vault & Upgrade Equipment,,,2014-12-31T00:00:00-05:00,2015-12-30T00:00:00-05:00,2015-01-01,2015-12-31,,118,"{""coordinates"": [-76.48914841993188, 44.232682539217976], ""type"": ""Point""}","44.232682539217976,-76.48914841993188"
Utilities Kingston,Utilities Facility Upgrade,Water,In Planning and Design Phase,Water - Collins Bay Rd,Booster Station Decommissioning,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,77300,"{""coordinates"": [-76.61111405630407, 44.255089283020844], ""type"": ""Point""}","44.255089283020844,-76.61111405630407"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - TV29 Upgrade,TV29 Equipment Upgrade,2017-01-01,2017-12-31,2016-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,128,"{""coordinates"": [-76.49565844932398, 44.234583691909116], ""type"": ""Point""}","44.234583691909116,-76.49565844932398"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,New Traffic Signal - Centennial and Cataraqui Woods,,,,2015-12-31T00:00:00-05:00,2018-12-30T00:00:00-05:00,2018-01-01,2018-12-31,,122,"{""coordinates"": [-76.55904351925852, 44.269357227697945], ""type"": ""Point""}","44.269357227697945,-76.55904351925852"
Parks and Development,Parks and Development,Existing Parks,Project Complete,James Nelson Park,Playground equipment replacements,,,2017-12-31T00:00:00-05:00,2018-11-30T00:00:00-05:00,,,https://getinvolved.cityofkingston.ca/parks-development,500,"{""coordinates"": [-76.49848419708654, 44.253888119223], ""type"": ""Point""}","44.253888119223,-76.49848419708654"
Utilities Kingston,Utilties Rehabilitation,Wastewater,Under Construction,Rehabilitation of the Dalton Avenue Wastewater Pump Station,"Replacement of one pump, new pump impellers for 3 pumps, full SCADA upgrade & replace inlet screen replacement",2017-01-01,2017-12-31,2016-12-31T00:00:00-05:00,2018-12-30T00:00:00-05:00,,,,131,"{""coordinates"": [-76.50931077653225, 44.267524307688944], ""type"": ""Point""}","44.267524307688944,-76.50931077653225"
Utilities Kingston,Utilities Facility Upgrade,Water,In Planning and Design Phase,Water - O'Connor Dr,Elevated Storage Decommissioning,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,77302,"{""coordinates"": [-76.56664822135014, 44.258808216145574], ""type"": ""Point""}","44.258808216145574,-76.56664822135014"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,In Planning and Design Phase,Wastewater - Trunk Sewer  Development Drive,Manhole hydraulic repairs,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,77294,"{""coordinates"": [-76.57803195375178, 44.2423795186684], ""type"": ""Point""}","44.2423795186684,-76.57803195375178"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,Sir John A. MacDonald and Norman Rogers Intersection Improvements,Sir John A. MacDonald and Norman Rogers Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2415,"{""coordinates"": [-76.51474263957009, 44.23390241447829], ""type"": ""Point""}","44.23390241447829,-76.51474263957009"
Parks and Development,Parks and Development,Pathways and Trails,Project Complete,Ridley Drive Pathway Lighting,Upgrades include downward lite lighting along the pathway between Ridley Drive and Lions Civic Gardens. The lighting is to improve public safety at night.,,,2017-01-01T00:00:00-05:00,2018-12-31T00:00:00-05:00,2018-05-01,2018-10-01,https://www.cityofkingston.ca/city-hall/projects-construction/archived-projects/park-upgrades-2013,24,"{""coordinates"": [-76.5754223747318, 44.25480495088943], ""type"": ""Point""}","44.25480495088943,-76.5754223747318"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,Project Complete,New Signal/Improvements - Unity and Hwy 38,Work includes a new signal and north/south left turn lanes.,,,2014-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,2018-01-01,2019-12-31,,14,"{""coordinates"": [-76.61581597285245, 44.31648834812654], ""type"": ""Point""}","44.31648834812654,-76.61581597285245"
