Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Description,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project URL,SDE ID,GeoJSON,geo_point_2d
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105774,"{""coordinates"": [-76.59313140211596, 44.23246500781116], ""type"": ""Point""}","44.23246500781116,-76.59313140211596"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP Project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105822,"{""coordinates"": [-76.5865653537662, 44.255415038964756], ""type"": ""Point""}","44.255415038964756,-76.5865653537662"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Under Construction,Front and Lakeview Intersection Improvements,Front and Lakeview Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2416,"{""coordinates"": [-76.57159734459121, 44.218253487862825], ""type"": ""Point""}","44.218253487862825,-76.57159734459121"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - MS 4 Upgrades,Transformer and Switch Gear Replacement,2017-01-01,2019-12-31,2017-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,120,"{""coordinates"": [-76.5262712044636, 44.247500607469085], ""type"": ""Point""}","44.247500607469085,-76.5262712044636"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Electric Frontenac TS - Fibre Install,Install UK Fibre into Hydro One Frontenac TS located at 954 Division St for tele-protection.,2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74737,"{""coordinates"": [-76.49883421506267, 44.25874078214589], ""type"": ""Point""}","44.25874078214589,-76.49883421506267"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Greenview Road Wastewater Pump Station Upgrades,"replacement of the pumping equipment, a new natural gas stand-by generator, new brick and roof replacement, and other interior mechanical and electrical upgrades.",2015-01-01,2015-12-31,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,,,,112,"{""coordinates"": [-76.53700341030498, 44.23609745046492], ""type"": ""Point""}","44.23609745046492,-76.53700341030498"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Cana Wastewater Treatment Plant,Wastewater Facility Replacement,,,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,2017-01-01,2017-12-31,,119,"{""coordinates"": [-76.4287108311701, 44.29921208769904], ""type"": ""Point""}","44.29921208769904,-76.4287108311701"
Utilities Kingston,Utilities Facility Upgrade,Water,In Planning and Design Phase,Water - Old Colony Road Booster Station Decommission,Booster Station Decommissioning,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,https://,115,"{""coordinates"": [-76.57494285777322, 44.24997540802329], ""type"": ""Point""}","44.24997540802329,-76.57494285777322"
,Parks and Development,Plans and Policies,Project Complete,Belle Park Master Plan,"The City is developing a master plan for Belle Park, a 80-acre park situated on a former landfill in the core of Kingston on the shores of the Cataraqui River. View engagement opportunities and timelines on the project page",2017-01-01,2017-12-01,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/belle-park-master-plan,496,"{""coordinates"": [-76.48126599109322, 44.25142520295781], ""type"": ""Point""}","44.25142520295781,-76.48126599109322"
City Engineering,Bridges and Culverts,Bridge Rehabilitation,In Planning and Design Phase,Collins Creek Bridge Rehabilitation,Collins Creek Bridge Rehabilitation,,,2019-12-31T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,,47541,"{""coordinates"": [-76.61447473436851, 44.249861806103794], ""type"": ""Point""}","44.249861806103794,-76.61447473436851"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Champlain Park Sportsfield,"Proposed grades include a new sports field, new playground equipment and re-alignment of pathway.",,,2016-12-31T00:00:00-05:00,2017-11-30T00:00:00-05:00,2018-09-01,2018-12-01,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,499,"{""coordinates"": [-76.5044178936291, 44.25378078903305], ""type"": ""Point""}","44.25378078903305,-76.5044178936291"
Transportation Services,Transit Services,Transit,In Planning and Design Phase,West End Terminal Construction,Information to be verified by Transportation Services,,,2014-12-31T00:00:00-05:00,2015-12-30T00:00:00-05:00,2015-01-01,2015-12-31,,101,"{""coordinates"": [-76.57220101011053, 44.25505809095477], ""type"": ""Point""}","44.25505809095477,-76.57220101011053"
Utilities Kingston,Utilties Rehabilitation,Wastewater,In Planning and Design Phase,Wastewater - Biosolids and Biogas Master Plan,Cataraqui Bay Biosolids Management,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,72175,"{""coordinates"": [-76.5512871381636, 44.213913234760874], ""type"": ""Point""}","44.213913234760874,-76.5512871381636"
Utilities Kingston,Utilties Rehabilitation,Wastewater,In Planning and Design Phase,Wastewater - Biosolids and Biogas Master Plan,Ravensview Biosolids Management,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,72174,"{""coordinates"": [-76.42165362675185, 44.24166623535033], ""type"": ""Point""}","44.24166623535033,-76.42165362675185"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,St. Lawrence Avenue Stormwater Study,St. Lawrence Avenue Stormwater Study,2020-01-01,2020-12-31,2017-07-31T00:00:00-04:00,2019-01-31T00:00:00-05:00,,,,46583,"{""coordinates"": [-76.37559692133404, 44.2617836553652], ""type"": ""Point""}","44.2617836553652,-76.37559692133404"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,Johnson and Macdonell Intersection Improvements,Johnson and MacDonnell Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2417,"{""coordinates"": [-76.50498127620428, 44.23139843719413], ""type"": ""Point""}","44.23139843719413,-76.50498127620428"
